year,Value,Units,variable_code
2021,Level 3,MN11,Percentage
2021,Level 3,MN11,Percentage
2021,Level 3,MN11,Percentage
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars (millions)
2021,Level 4,MN111,Dollars
2021,Level 4,MN111,Dollars
2021,Level 4,MN111,Percentage
2021,Level 4,MN111,Percentage
2021,Level 4,MN111,Percentage
2021,Level 4,MN111,Percentage
2021,Level 4,MN111,Percentage
2021,Level 4,MN112,H01
2021,Level 4,MN112,H04
2021,Level 4,MN112,H05
2021,Level 4,MN112,H06
2021,Level 4,MN112,H07
2021,Level 4,MN112,H08
2021,Level 4,MN112,H09
2021,Level 4,MN112,H10
2021,Level 4,MN112,H11
2021,Level 4,MN112,H12
2021,Level 4,MN112,H13
2021,Level 4,MN112,H19
2021,Level 4,MN112,H20
2021,Level 4,MN112,H21
2021,Level 4,MN112,H22
2021,Level 4,MN112,H23
2021,Level 4,MN112,H24
2021,Level 4,MN112,H25
2021,Level 4,MN112,H26
2021,Level 4,MN112,H27
2021,Level 4,MN112,H28
2021,Level 4,MN112,H29
2021,Level 4,MN112,H30
2021,Level 4,MN112,H31
2021,Level 4,MN112,H32
2021,Level 4,MN112,H33
2021,Level 4,MN112,H34
2021,Level 4,MN112,H35
2021,Level 4,MN112,H36
2021,Level 4,MN112,H37
2021,Level 4,MN112,H39
2021,Level 4,MN112,H40
2021,Level 4,MN112,H41
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars (millions)
2021,Level 4,MN113,Dollars
2021,Level 4,MN113,Dollars
2021,Level 4,MN113,Percentage
2021,Level 4,MN113,Percentage
2021,Level 4,MN113,Percentage
2021,Level 4,MN113,Percentage
2021,Level 4,MN113,Percentage
2021,Level 4,MN114,H01
2021,Level 4,MN114,H04
2021,Level 4,MN114,H05
2021,Level 4,MN114,H06
2021,Level 4,MN114,H07
2021,Level 4,MN114,H08
2021,Level 4,MN114,H09
2021,Level 4,MN114,H10
2021,Level 4,MN114,H11
2021,Level 4,MN114,H12
2021,Level 4,MN114,H13
2021,Level 4,MN114,H19
2021,Level 4,MN114,H20
2021,Level 4,MN114,H21
2021,Level 4,MN114,H22
2021,Level 4,MN114,H23
2021,Level 4,MN114,H24
2021,Level 4,MN114,H25
2021,Level 4,MN114,H26
2021,Level 4,MN114,H27
2021,Level 4,MN114,H28
2021,Level 4,MN114,H29
2021,Level 4,MN114,H30
2021,Level 4,MN114,H31
2021,Level 4,MN114,H32
2021,Level 4,MN114,H33
2021,Level 4,MN114,H34
2021,Level 4,MN114,H35
2021,Level 4,MN114,H36
2021,Level 4,MN114,H37
