year,Value,Units,variable_code
2023,Level 1,99999,H01
2023,Level 1,99999,H04
2023,Level 1,99999,H05
2023,Level 1,99999,H07
2023,Level 1,99999,H08
2023,Level 1,99999,H09
2023,Level 1,99999,H10
2023,Level 1,99999,H11
2023,Level 1,99999,H12
2023,Level 1,99999,H13
2023,Level 1,99999,H14
2023,Level 1,99999,H19
2023,Level 1,99999,H20
2023,Level 1,99999,H21
2023,Level 1,99999,H22
2023,Level 1,99999,H23
2023,Level 1,99999,H24
2023,Level 1,99999,H25
2023,Level 1,99999,H26
2023,Level 1,99999,H29
2023,Level 1,99999,H30
2023,Level 1,99999,H31
2023,Level 1,99999,H32
2023,Level 1,99999,H33
2023,Level 1,99999,H34
2023,Level 1,99999,H35
2023,Level 1,99999,H36
2023,Level 1,99999,H37
2023,Level 1,99999,H39
2023,Level 1,99999,H40
2023,Level 1,99999,H41
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars (millions)
2023,Level 1,AA,Dollars
2023,Level 1,AA,Dollars
2023,Level 1,AA,Percentage
2023,Level 1,AA,Percentage
2023,Level 1,AA,Percentage
2023,Level 1,AA,Percentage
2023,Level 1,AA,Percentage
2023,Level 3,AA11,H01
2023,Level 3,AA11,H04
2023,Level 3,AA11,H05
2023,Level 3,AA11,H07
2023,Level 3,AA11,H08
2023,Level 3,AA11,H09
2023,Level 3,AA11,H10
2023,Level 3,AA11,H11
2023,Level 3,AA11,H12
2023,Level 3,AA11,H13
2023,Level 3,AA11,H19
2023,Level 3,AA11,H20
2023,Level 3,AA11,H21
2023,Level 3,AA11,H22
2023,Level 3,AA11,H23
2023,Level 3,AA11,H24
2023,Level 3,AA11,H25
2023,Level 3,AA11,H26
2023,Level 3,AA11,H29
2023,Level 3,AA11,H30
2023,Level 3,AA11,H31
2023,Level 3,AA11,H32
2023,Level 3,AA11,H33
2023,Level 3,AA11,H34
2023,Level 3,AA11,H35
2023,Level 3,AA11,H36
2023,Level 3,AA11,H37
2023,Level 3,AA11,H39
2023,Level 3,AA11,H40
2023,Level 3,AA11,H41
2023,Level 4,AA111,H01
2023,Level 4,AA111,H04
2023,Level 4,AA111,H05
2023,Level 4,AA111,H07
2023,Level 4,AA111,H08
2023,Level 4,AA111,H09
2023,Level 4,AA111,H10
2023,Level 4,AA111,H11
2023,Level 4,AA111,H12
2023,Level 4,AA111,H13
2023,Level 4,AA111,H19
2023,Level 4,AA111,H20
2023,Level 4,AA111,H21
2023,Level 4,AA111,H22
2023,Level 4,AA111,H23
2023,Level 4,AA111,H24
2023,Level 4,AA111,H25
2023,Level 4,AA111,H26
2023,Level 4,AA111,H29
2023,Level 4,AA111,H30
2023,Level 4,AA111,H31
2023,Level 4,AA111,H32
2023,Level 4,AA111,H33
2023,Level 4,AA111,H34
2023,Level 4,AA111,H35
2023,Level 4,AA111,H36
2023,Level 4,AA111,H37
2023,Level 4,AA111,H39
2023,Level 4,AA111,H40
2023,Level 4,AA111,H41
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars (millions)
2023,Level 3,AA12,Dollars
2023,Level 3,AA12,Dollars
2023,Level 3,AA12,Percentage
2023,Level 3,AA12,Percentage
2023,Level 3,AA12,Percentage
2023,Level 3,AA12,Percentage
2023,Level 3,AA12,Percentage
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars (millions)
2023,Level 4,AA121,Dollars
2023,Level 4,AA121,Dollars
2023,Level 4,AA121,Percentage
2023,Level 4,AA121,Percentage
2023,Level 4,AA121,Percentage
2023,Level 4,AA121,Percentage
2023,Level 4,AA121,Percentage
2023,Level 3,AA13,H01
2023,Level 3,AA13,H04
2023,Level 3,AA13,H05
2023,Level 3,AA13,H07
2023,Level 3,AA13,H08
2023,Level 3,AA13,H09
2023,Level 3,AA13,H10
2023,Level 3,AA13,H11
2023,Level 3,AA13,H12
2023,Level 3,AA13,H13
2023,Level 3,AA13,H19
2023,Level 3,AA13,H20
2023,Level 3,AA13,H21
2023,Level 3,AA13,H22
2023,Level 3,AA13,H23
2023,Level 3,AA13,H24
2023,Level 3,AA13,H25
2023,Level 3,AA13,H26
2023,Level 3,AA13,H29
2023,Level 3,AA13,H30
2023,Level 3,AA13,H31
2023,Level 3,AA13,H32
2023,Level 3,AA13,H33
2023,Level 3,AA13,H34
2023,Level 3,AA13,H35
2023,Level 3,AA13,H36
2023,Level 3,AA13,H37
2023,Level 3,AA13,H39
2023,Level 3,AA13,H40
2023,Level 3,AA13,H41
2023,Level 4,AA131,H01
2023,Level 4,AA131,H04
2023,Level 4,AA131,H05
2023,Level 4,AA131,H07
2023,Level 4,AA131,H08
2023,Level 4,AA131,H09
2023,Level 4,AA131,H10
2023,Level 4,AA131,H11
2023,Level 4,AA131,H12
2023,Level 4,AA131,H13
2023,Level 4,AA131,H19
2023,Level 4,AA131,H20
2023,Level 4,AA131,H21
2023,Level 4,AA131,H22
2023,Level 4,AA131,H23
2023,Level 4,AA131,H24
2023,Level 4,AA131,H25
2023,Level 4,AA131,H26
2023,Level 4,AA131,H29
2023,Level 4,AA131,H30
2023,Level 4,AA131,H31
2023,Level 4,AA131,H32
2023,Level 4,AA131,H33
2023,Level 4,AA131,H34
2023,Level 4,AA131,H35
2023,Level 4,AA131,H36
2023,Level 4,AA131,H37
2023,Level 4,AA131,H39
2023,Level 4,AA131,H40
2023,Level 4,AA131,H41
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars (millions)
2023,Level 3,AA14,Dollars
2023,Level 3,AA14,Dollars
2023,Level 3,AA14,Percentage
2023,Level 3,AA14,Percentage
2023,Level 3,AA14,Percentage
2023,Level 3,AA14,Percentage
2023,Level 3,AA14,Percentage
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars (millions)
2023,Level 4,AA141,Dollars
2023,Level 4,AA141,Dollars
2023,Level 4,AA141,Percentage
2023,Level 4,AA141,Percentage
2023,Level 4,AA141,Percentage
2023,Level 4,AA141,Percentage
2023,Level 4,AA141,Percentage
2023,Level 3,AA21,H01
2023,Level 3,AA21,H04
2023,Level 3,AA21,H05
2023,Level 3,AA21,H06
2023,Level 3,AA21,H07
2023,Level 3,AA21,H08
2023,Level 3,AA21,H09
2023,Level 3,AA21,H10
2023,Level 3,AA21,H11
2023,Level 3,AA21,H12
2023,Level 3,AA21,H13
2023,Level 3,AA21,H19
2023,Level 3,AA21,H20
2023,Level 3,AA21,H21
2023,Level 3,AA21,H22
2023,Level 3,AA21,H23
2023,Level 3,AA21,H24
2023,Level 3,AA21,H25
2023,Level 3,AA21,H26
2023,Level 3,AA21,H29
2023,Level 3,AA21,H30
2023,Level 3,AA21,H31
2023,Level 3,AA21,H32
2023,Level 3,AA21,H33
2023,Level 3,AA21,H34
2023,Level 3,AA21,H35
2023,Level 3,AA21,H36
2023,Level 3,AA21,H37
2023,Level 3,AA21,H39
2023,Level 3,AA21,H40
2023,Level 3,AA21,H41
2023,Level 4,AA211,H01
2023,Level 4,AA211,H04
2023,Level 4,AA211,H05
2023,Level 4,AA211,H06
2023,Level 4,AA211,H07
2023,Level 4,AA211,H08
2023,Level 4,AA211,H09
2023,Level 4,AA211,H10
2023,Level 4,AA211,H11
2023,Level 4,AA211,H12
2023,Level 4,AA211,H13
2023,Level 4,AA211,H19
2023,Level 4,AA211,H20
2023,Level 4,AA211,H21
2023,Level 4,AA211,H22
2023,Level 4,AA211,H23
2023,Level 4,AA211,H24
2023,Level 4,AA211,H25
2023,Level 4,AA211,H26
2023,Level 4,AA211,H29
2023,Level 4,AA211,H30
2023,Level 4,AA211,H31
2023,Level 4,AA211,H32
2023,Level 4,AA211,H33
2023,Level 4,AA211,H34
2023,Level 4,AA211,H35
2023,Level 4,AA211,H36
2023,Level 4,AA211,H37
2023,Level 4,AA211,H39
2023,Level 4,AA211,H40
2023,Level 4,AA211,H41
2023,Level 3,AA31,H01
2023,Level 3,AA31,H04
2023,Level 3,AA31,H05
2023,Level 3,AA31,H07
2023,Level 3,AA31,H08
2023,Level 3,AA31,H09
2023,Level 3,AA31,H10
2023,Level 3,AA31,H11
2023,Level 3,AA31,H12
2023,Level 3,AA31,H13
2023,Level 3,AA31,H19
2023,Level 3,AA31,H20
2023,Level 3,AA31,H21
2023,Level 3,AA31,H22
2023,Level 3,AA31,H23
2023,Level 3,AA31,H24
2023,Level 3,AA31,H25
2023,Level 3,AA31,H26
2023,Level 3,AA31,H29
2023,Level 3,AA31,H30
2023,Level 3,AA31,H31
2023,Level 3,AA31,H32
2023,Level 3,AA31,H33
2023,Level 3,AA31,H34
2023,Level 3,AA31,H35
2023,Level 3,AA31,H36
2023,Level 3,AA31,H37
2023,Level 3,AA31,H39
2023,Level 3,AA31,H40
2023,Level 3,AA31,H41
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars (millions)
2023,Level 3,AA32,Dollars
2023,Level 3,AA32,Dollars
2023,Level 3,AA32,Percentage
2023,Level 3,AA32,Percentage
2023,Level 3,AA32,Percentage
2023,Level 3,AA32,Percentage
2023,Level 3,AA32,Percentage
2023,Level 1,BB,H01
2023,Level 1,BB,H04
2023,Level 1,BB,H05
2023,Level 1,BB,H06
2023,Level 1,BB,H07
2023,Level 1,BB,H08
2023,Level 1,BB,H09
2023,Level 1,BB,H10
2023,Level 1,BB,H11
2023,Level 1,BB,H12
2023,Level 1,BB,H13
2023,Level 1,BB,H19
2023,Level 1,BB,H20
2023,Level 1,BB,H21
2023,Level 1,BB,H22
2023,Level 1,BB,H23
2023,Level 1,BB,H24
2023,Level 1,BB,H25
2023,Level 1,BB,H26
2023,Level 1,BB,H27
2023,Level 1,BB,H28
2023,Level 1,BB,H29
2023,Level 1,BB,H30
2023,Level 1,BB,H31
2023,Level 1,BB,H32
2023,Level 1,BB,H33
2023,Level 1,BB,H34
2023,Level 1,BB,H35
2023,Level 1,BB,H36
2023,Level 1,BB,H37
2023,Level 1,BB,H39
2023,Level 1,BB,H40
2023,Level 1,BB,H41
2023,Level 1,CC,H01
2023,Level 1,CC,H02
2023,Level 1,CC,H03
2023,Level 1,CC,H05
2023,Level 1,CC,H06
2023,Level 1,CC,H07
2023,Level 1,CC,H08
2023,Level 1,CC,H09
2023,Level 1,CC,H10
2023,Level 1,CC,H11
2023,Level 1,CC,H12
2023,Level 1,CC,H13
2023,Level 1,CC,H17
2023,Level 1,CC,H18
2023,Level 1,CC,H20
2023,Level 1,CC,H21
2023,Level 1,CC,H22
2023,Level 1,CC,H23
2023,Level 1,CC,H24
2023,Level 1,CC,H25
2023,Level 1,CC,H26
2023,Level 1,CC,H27
2023,Level 1,CC,H28
2023,Level 1,CC,H29
2023,Level 1,CC,H30
2023,Level 1,CC,H31
2023,Level 1,CC,H32
2023,Level 1,CC,H33
2023,Level 1,CC,H34
2023,Level 1,CC,H35
2023,Level 1,CC,H36
2023,Level 1,CC,H37
2023,Level 1,CC,H38
2023,Level 1,CC,H39
2023,Level 1,CC,H40
2023,Level 1,CC,H41
2023,Level 3,CC15,H01
2023,Level 3,CC15,H02
2023,Level 3,CC15,H03
2023,Level 3,CC15,H05
2023,Level 3,CC15,H06
2023,Level 3,CC15,H07
2023,Level 3,CC15,H08
2023,Level 3,CC15,H09
2023,Level 3,CC15,H10
2023,Level 3,CC15,H11
2023,Level 3,CC15,H12
2023,Level 3,CC15,H13
2023,Level 3,CC15,H17
2023,Level 3,CC15,H18
2023,Level 3,CC15,H20
2023,Level 3,CC15,H21
2023,Level 3,CC15,H22
2023,Level 3,CC15,H23
2023,Level 3,CC15,H24
2023,Level 3,CC15,H25
2023,Level 3,CC15,H26
2023,Level 3,CC15,H27
2023,Level 3,CC15,H28
2023,Level 3,CC15,H29
2023,Level 3,CC15,H30
2023,Level 3,CC15,H31
2023,Level 3,CC15,H32
2023,Level 3,CC15,H33
2023,Level 3,CC15,H34
2023,Level 3,CC15,H35
2023,Level 3,CC15,H36
2023,Level 3,CC15,H37
2023,Level 3,CC15,H38
2023,Level 3,CC15,H39
2023,Level 3,CC15,H40
2023,Level 3,CC15,H41
2023,Level 4,CC151,H01
2023,Level 4,CC151,H02
2023,Level 4,CC151,H03
2023,Level 4,CC151,H05
2023,Level 4,CC151,H06
2023,Level 4,CC151,H07
2023,Level 4,CC151,H08
2023,Level 4,CC151,H09
2023,Level 4,CC151,H10
2023,Level 4,CC151,H11
2023,Level 4,CC151,H12
2023,Level 4,CC151,H13
2023,Level 4,CC151,H17
2023,Level 4,CC151,H18
2023,Level 4,CC151,H20
2023,Level 4,CC151,H21
2023,Level 4,CC151,H22
2023,Level 4,CC151,H23
2023,Level 4,CC151,H24
2023,Level 4,CC151,H25
2023,Level 4,CC151,H26
2023,Level 4,CC151,H27
2023,Level 4,CC151,H28
2023,Level 4,CC151,H29
2023,Level 4,CC151,H30
2023,Level 4,CC151,H31
2023,Level 4,CC151,H32
2023,Level 4,CC151,H33
2023,Level 4,CC151,H34
2023,Level 4,CC151,H35
2023,Level 4,CC151,H36
2023,Level 4,CC151,H37
2023,Level 4,CC151,H38
2023,Level 4,CC151,H39
2023,Level 4,CC151,H40
2023,Level 4,CC151,H41
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 3,CC21, Clothing and Footwear Manufacturing"
2023,Level 4,CC211,H01
2023,Level 4,CC211,H02
2023,Level 4,CC211,H03
2023,Level 4,CC211,H05
2023,Level 4,CC211,H06
2023,Level 4,CC211,H07
2023,Level 4,CC211,H08
2023,Level 4,CC211,H09
2023,Level 4,CC211,H10
2023,Level 4,CC211,H11
2023,Level 4,CC211,H12
2023,Level 4,CC211,H13
2023,Level 4,CC211,H17
2023,Level 4,CC211,H18
2023,Level 4,CC211,H20
2023,Level 4,CC211,H21
2023,Level 4,CC211,H22
2023,Level 4,CC211,H23
2023,Level 4,CC211,H24
2023,Level 4,CC211,H25
2023,Level 4,CC211,H26
2023,Level 4,CC211,H27
2023,Level 4,CC211,H28
2023,Level 4,CC211,H29
2023,Level 4,CC211,H30
2023,Level 4,CC211,H31
2023,Level 4,CC211,H32
2023,Level 4,CC211,H33
2023,Level 4,CC211,H34
2023,Level 4,CC211,H35
2023,Level 4,CC211,H36
2023,Level 4,CC211,H37
2023,Level 4,CC211,H38
2023,Level 4,CC211,H39
2023,Level 4,CC211,H40
2023,Level 4,CC211,H41
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars (millions)
2023,Level 4,CC212,Dollars
2023,Level 4,CC212,Dollars
2023,Level 4,CC212,Percentage
2023,Level 4,CC212,Percentage
2023,Level 4,CC212,Percentage
2023,Level 4,CC212,Percentage
2023,Level 4,CC212,Percentage
2023,Level 4,CC212,Percentage
2023,Level 3,CC31,H01
2023,Level 3,CC31,H02
2023,Level 3,CC31,H03
2023,Level 3,CC31,H05
2023,Level 3,CC31,H06
2023,Level 3,CC31,H07
2023,Level 3,CC31,H08
2023,Level 3,CC31,H09
2023,Level 3,CC31,H10
2023,Level 3,CC31,H11
2023,Level 3,CC31,H12
2023,Level 3,CC31,H13
2023,Level 3,CC31,H17
2023,Level 3,CC31,H18
2023,Level 3,CC31,H20
2023,Level 3,CC31,H21
2023,Level 3,CC31,H22
2023,Level 3,CC31,H23
2023,Level 3,CC31,H24
2023,Level 3,CC31,H25
2023,Level 3,CC31,H26
2023,Level 3,CC31,H27
2023,Level 3,CC31,H28
2023,Level 3,CC31,H29
2023,Level 3,CC31,H30
2023,Level 3,CC31,H31
2023,Level 3,CC31,H32
2023,Level 3,CC31,H33
2023,Level 3,CC31,H34
2023,Level 3,CC31,H35
2023,Level 3,CC31,H36
2023,Level 3,CC31,H37
2023,Level 3,CC31,H38
2023,Level 3,CC31,H39
2023,Level 3,CC31,H40
2023,Level 3,CC31,H41
2023,Level 4,CC311,H01
2023,Level 4,CC311,H02
2023,Level 4,CC311,H03
2023,Level 4,CC311,H05
2023,Level 4,CC311,H06
2023,Level 4,CC311,H07
2023,Level 4,CC311,H08
2023,Level 4,CC311,H09
2023,Level 4,CC311,H10
2023,Level 4,CC311,H11
2023,Level 4,CC311,H12
2023,Level 4,CC311,H13
2023,Level 4,CC311,H17
2023,Level 4,CC311,H18
2023,Level 4,CC311,H20
2023,Level 4,CC311,H21
2023,Level 4,CC311,H22
2023,Level 4,CC311,H23
2023,Level 4,CC311,H24
2023,Level 4,CC311,H25
2023,Level 4,CC311,H26
2023,Level 4,CC311,H27
2023,Level 4,CC311,H28
2023,Level 4,CC311,H29
2023,Level 4,CC311,H30
2023,Level 4,CC311,H31
2023,Level 4,CC311,H32
2023,Level 4,CC311,H33
2023,Level 4,CC311,H34
2023,Level 4,CC311,H35
2023,Level 4,CC311,H36
2023,Level 4,CC311,H37
2023,Level 4,CC311,H38
2023,Level 4,CC311,H39
2023,Level 4,CC311,H40
2023,Level 4,CC311,H41
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars (millions)
2023,Level 3,CC32,Dollars
2023,Level 3,CC32,Dollars
2023,Level 3,CC32,Percentage
2023,Level 3,CC32,Percentage
2023,Level 3,CC32,Percentage
2023,Level 3,CC32,Percentage
2023,Level 3,CC32,Percentage
2023,Level 3,CC32,Percentage
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
2023,Level 4,CC321,Dollars (millions)
